Date|Symbol|Short Volume|Total Volume|Market
20151214|MTCN|34306|44380|N
20151214|MTD|22514|31796|N
20151214|MTDR|299844|460109|N
20151214|MTG|493404|837930|N
20151214|MTH|56061|93817|N
20151214|MTL|1891|8783|N
20151214|MTLPR|0|126|N
20151214|MTN|42835|75313|N
20151214|MTOR|370409|528367|N
20151214|MTR|573|573|N
20151214|MTRN|14493|25318|N
20151214|MTS|148|715|N
20151214|MTT|2035|3248|N
20151214|MTU|213603|400384|N
20151214|MTW|436243|561598|N
20151214|MTX|18149|36857|N
20151214|MTZ|176799|378900|N
20151214|MUA|4740|12860|N
20151214|MUC|11100|29785|N
20151214|MUE|1492|6758|N
20151214|MUH|1099|2428|N
20151214|MUI|54563|143321|N
20151214|MUJ|13769|27315|N
20151214|MUR|845491|1195986|N
20151214|MUS|2153|11478|N
20151214|MUSA|18155|38554|N
20151214|MUX|125048|220897|N
20151214|MVC|36641|62053|N
20151214|MVCB|3683|8449|N
20151214|MVO|8724|10456|N
20151214|MVT|6734|10543|N
20151214|MW|362146|752953|N
20151214|MWA|159382|294091|N
20151214|MWG|13472|34200|N
20151214|MWO|18219|23459|N
20151214|MWR|25897|44819|N
20151214|MWW|126706|281308|N
20151214|MX|51121|91136|N
20151214|MXE|700|2443|N
20151214|MXF|1030|8211|N
20151214|MXL|91911|235932|N
20151214|MXPT|2732|6373|N
20151214|MY|39613|102872|N
20151214|MYC|3094|19210|N
20151214|MYCC|55493|86158|N
20151214|MYD|7212|15572|N
20151214|MYE|28415|53410|N
20151214|MYF|3652|13773|N
20151214|MYI|24734|46597|N
20151214|MYJ|1043|8040|N
20151214|MYN|8715|16954|N
20151214|MZF|100|3197|N
20151214|N|31977|45093|N
20151214|NAC|10755|27698|N
20151214|NAD|8065|39360|N
20151214|NADL|26130|66741|N
20151214|NAN|1565|16076|N
20151214|NAO|41848|73441|N
20151214|NAP|9690|26036|N
20151214|NAT|392084|649397|N
20151214|NAV|395899|642428|N
20151214|NAVPRD|0|100|N
20151214|NAZ|2711|4327|N
20151214|NBB|12184|24559|N
20151214|NBD|3726|7797|N
20151214|NBHC|38375|50077|N
20151214|NBL|971240|1833175|N
20151214|NBR|1129688|1969870|N
20151214|NC|2902|5918|N
20151214|NCA|896|6959|N
20151214|NCI|15162|60708|N
20151214|NCR|655552|1309601|N
20151214|NCS|68771|247178|N
20151214|NCT|79377|137247|N
20151214|NCTPRB|6613|12433|N
20151214|NCTPRC|1100|2360|N
20151214|NCTPRD|668|1105|N
20151214|NCV|132264|319668|N
20151214|NCZ|220486|460406|N
20151214|NDP|19000|53371|N
20151214|NDRO|11591|44494|N
20151214|NE|823930|1312516|N
20151214|NEA|22256|39764|N
20151214|NEE|294132|660182|N
20151214|NEEPRC|8997|13668|N
20151214|NEEPRG|5752|14604|N
20151214|NEEPRH|10047|16430|N
20151214|NEEPRI|11122|25230|N
20151214|NEEPRJ|32089|37426|N
20151214|NEEPRP|205|1110|N
20151214|NEEPRQ|569|2393|N
20151214|NEFF|4481|11879|N
20151214|NEM|1147380|1974995|N
20151214|NEP|25013|48742|N
20151214|NES|14785|30503|N
20151214|NEU|4352|6697|N
20151214|NEV|13806|23706|N
20151214|NEWM|21401|40641|N
20151214|NEWR|21697|30627|N
20151214|NFG|86208|165307|N
20151214|NFJ|18714|50846|N
20151214|NFX|634752|1066700|N
20151214|NGG|83353|139317|N
20151214|NGL|120420|357449|N
20151214|NGLS|214716|548445|N
20151214|NGLSPRA|16014|22594|N
20151214|NGS|4982|12348|N
20151214|NGVC|5649|20941|N
20151214|NHF|3748|11774|N
20151214|NHI|62828|97764|N
20151214|NI|259946|493115|N
20151214|NID|35062|42679|N
20151214|NIE|7423|29928|N
20151214|NIM|600|2453|N
20151214|NIO|21619|48300|N
20151214|NIQ|6700|11397|N
20151214|NJ|8169|13737|N
20151214|NJR|39398|106505|N
20151214|NKA|10319|17965|N
20151214|NKE|522861|1168869|N
20151214|NKG|4082|4182|N
20151214|NKX|4818|15252|N
20151214|NL|2386|4478|N
20151214|NLS|15395|43675|N
20151214|NLSN|535859|790066|N
20151214|NLY|1299126|2881525|N
20151214|NLYPRA|19538|22298|N
20151214|NLYPRC|19619|36119|N
20151214|NLYPRD|25440|33261|N
20151214|NM|58749|111576|N
20151214|NMA|17407|47173|N
20151214|NMBL|122922|324029|N
20151214|NMFC|203011|414298|N
20151214|NMI|3611|7173|N
20151214|NMKPRB|0|0|N
20151214|NMKPRC|0|0|N
20151214|NMM|46520|114876|N
20151214|NMO|7101|24260|N
20151214|NMPRG|4777|14445|N
20151214|NMPRH|14593|29929|N
20151214|NMR|51763|97323|N
20151214|NMS|2521|3121|N
20151214|NMT|934|2170|N
20151214|NMY|1123|15471|N
20151214|NNA|78222|174474|N
20151214|NNC|671|11796|N
20151214|NNI|17812|44858|N
20151214|NNN|201286|296190|N
20151214|NNNPRD|5546|7944|N
20151214|NNNPRE|3688|5656|N
20151214|NNY|2474|4459|N
20151214|NOA|1012|2162|N
20151214|NOAH|42289|68980|N
20151214|NOC|127754|219761|N
20151214|NOK|2272423|3299637|N
20151214|NORD|4995|11578|N
20151214|NOV|1609557|2409212|N
20151214|NOW|79522|243344|N
20151214|NP|9292|30351|N
20151214|NPD|4579|16646|N
20151214|NPF|5197|17069|N
20151214|NPI|19756|46195|N
20151214|NPK|1982|6043|N
20151214|NPM|32992|48826|N
20151214|NPO|15958|40131|N
20151214|NPP|14535|23763|N
20151214|NPT|20939|63603|N
20151214|NPTN|32182|110508|N
20151214|NPV|900|2800|N
20151214|NQ|37430|73509|N
20151214|NQI|6134|26962|N
20151214|NQM|7175|24644|N
20151214|NQP|4182|14147|N
20151214|NQS|9247|32016|N
20151214|NQU|13761|35604|N
20151214|NR|111878|224086|N
20151214|NRE|72013|162750|N
20151214|NRF|460945|887548|N
20151214|NRFPRA|2900|8272|N
20151214|NRFPRB|9684|24247|N
20151214|NRFPRC|9694|25866|N
20151214|NRFPRD|1616|11381|N
20151214|NRFPRE|5891|24619|N
